S.N,e11,e12,e13,e21,e22,e23,e31,e32,e33
1,4.4813,0.0000,0.0000,0.0000,6.8355,0.0000,0.0000,0.0000,6.0622
2,1.0242,0.0000,0.0000,0.0000,1.0288,0.0000,0.0000,0.0000,1.0250
3,37.9830,0.0000,0.0000,0.0000,49.5655,0.5242,0.0000,0.5242,17.2845
4,4.4640,0.0000,0.0000,0.0000,4.4640,0.0000,0.0000,0.0000,4.4640
5,38.7176,0.0000,0.0000,0.0000,38.7176,0.0000,0.0000,0.0000,23.5031
6,34.0305,0.0000,0.0000,0.0000,37.8217,0.0000,0.0000,0.0000,53.2685
7,1.6994,0.0000,0.0000,0.0000,2.0797,0.0000,0.0000,0.0000,1.4313
8,58.5577,0.0000,0.0000,0.0000,58.5585,0.0000,0.0000,0.0000,58.5580
9,54.7490,0.0000,0.0000,0.0000,54.7495,0.0000,0.0000,0.0000,30.0753
10,45.6058,0.0000,0.0000,0.0000,45.6058,0.0000,0.0000,0.0000,45.6058
11,41.3410,0.0000,0.0000,0.0000,38.2649,0.0000,0.0000,0.0000,83.4638
12,103.1217,0.0000,0.0000,0.0000,103.1187,0.0000,0.0000,0.0000,48.1314
13,26.8431,0.0000,0.0000,0.0000,22.3906,0.0000,0.0000,0.0000,26.4239
14,94.7706,0.0000,0.0000,0.0000,94.7705,0.0000,0.0000,0.0000,20.4329
15,28.5882,0.0000,0.0000,0.0000,25.3011,1.0379,0.0000,1.0379,30.7563
16,79.3558,0.0000,-0.0000,0.0000,79.3556,0.0011,-0.0000,0.0011,32.5661
17,726.2158,0.0000,0.0000,0.0000,726.2146,0.0000,0.0000,0.0000,17.5245
18,31.9904,0.0000,0.0000,0.0000,31.9904,0.0000,0.0000,0.0000,31.9905
19,6.6127,0.0000,0.0000,0.0000,6.6127,0.0000,0.0000,0.0000,19.2053
