S.N,e11,e12,e13,e21,e22,e23,e31,e32,e33
1,4.4014,0.0000,0.0000,0.0000,6.7352,0.0000,0.0000,0.0000,5.7414
2,1.0231,0.0000,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,1.0240
3,40.9983,0.0000,0.0000,0.0000,54.3176,0.6700,0.0000,0.6700,17.9699
4,2.9534,0.0000,0.0000,0.0000,2.9534,0.0000,0.0000,0.0000,2.9534
5,27.6474,0.0000,0.0000,0.0000,27.6474,0.0000,0.0000,0.0000,19.6437
6,32.8508,0.0000,0.0000,0.0000,36.7587,0.0000,0.0000,0.0000,50.3590
7,1.6258,0.0000,0.0000,0.0000,1.6866,0.0000,0.0000,0.0000,1.3271
8,52.9826,0.0000,0.0000,0.0000,52.9824,0.0000,0.0000,0.0000,52.9823
9,43.0078,0.0000,0.0000,0.0000,43.0082,0.0000,0.0000,0.0000,27.7961
10,346.1873,-0.0015,-0.3936,-0.0015,347.4141,-0.4044,-0.3936,-0.4044,347.1873
11,28.4303,0.0000,0.0000,0.0000,27.4181,0.0000,0.0000,0.0000,51.3178
12,56.2164,0.0000,0.0000,0.0000,56.2165,0.0000,0.0000,0.0000,28.0541
13,14.8873,0.0000,0.0000,0.0000,14.6711,0.0000,0.0000,0.0000,15.2184
14,49.6502,0.0000,0.0000,0.0000,49.6501,0.0000,0.0000,0.0000,17.7589
15,27.0812,0.0000,0.0000,0.0000,24.3360,1.0936,0.0000,1.0936,29.4736
16,41.9842,-0.0001,-0.0001,-0.0001,41.9840,0.0009,-0.0001,0.0009,26.9190
17,111.6399,0.0000,0.0000,0.0000,111.6397,0.0000,0.0000,0.0000,15.6422
18,31.6586,0.0000,0.0000,0.0000,31.6584,0.0000,0.0000,0.0000,31.6586
19,397.1585,0.0000,0.0000,0.0000,397.1585,0.0000,0.0000,0.0000,26.8051
