,compound,Mh,Qh
0,MgTiN2,0.07356972972972972,inf
1,FeSi2,0.01379029544383875,inf
2,WO3,1.7109719260838663,inf
3,TePb,0.5774460263351381,inf
4,PbClF,0.30353751187084527,inf
5,Ta3N5,0.42434272300469483,inf
6,Bi2SO2,0.021998477929984783,inf
7,BaZrO3,0.6124290074309978,inf
8,TiO2,0.5676096181046675,inf
9,NaTaO3,4.9959840568060025,0.05045920318673882
10,CaZrO3,0.3071609195402299,inf
11,SrZrO3,0.7057850630195762,inf
12,BaZrS3,0.14973973973973972,inf
13,Sr2TiO4,0.6535028475711891,inf
14,TiO2,0.32423586040914565,inf
15,Na4Ti5O12,0.5765148911798395,inf
16,SrHFO4,1.4881982706615728,inf
17,CsSrF3,0.36773177920685957,inf
18,SnBrF,5.845213114754098,inf
