,compound,Mh,Qh
0,MgTiN2,1.0906213621621604e-13,3.128843863777619e-15
1,FeSi2,3.4560333804432647e-16,3.283522774371927e-16
2,WO3,2.193913592750533e-12,1.7545311586474484e-15
3,TePb,1.6386818204665463e-11,5.825039433874531e-14
4,PbClF,6.6700793989960655e-12,4.306901236206359e-15
5,Ta3N5,6.610392837022131e-13,3.782673564110164e-16
6,Bi2SO2,1.018681674277017e-13,3.212498367514112e-14
7,BaZrO3,2.4073222372611443e-12,6.817933868341686e-16
8,TiO2,1.0894051768033936e-12,6.522385248549739e-16
9,NaTaO3,9.149168920150023e-12,8.924155347851239e-17
10,CaZrO3,1.2170867640297491e-12,8.016908610151715e-16
11,SrZrO3,2.074587886832928e-12,7.575608306220574e-16
12,BaZrS3,1.246638473139806e-12,3.803692481421493e-15
13,Sr2TiO4,2.968608273366834e-12,1.3658794206084965e-15
14,TiO2,5.083680545527466e-13,6.321200100284878e-16
15,Na4Ti5O12,2.5068901703894598e-12,1.352525582576011e-15
16,SrHFO4,2.0418366135799992e-11,1.3193511346724577e-15
17,CsSrF3,1.498525265273312e-12,1.1809783979310251e-15
18,SnBrF,5.0903623232058294e-11,1.741304375607635e-14
