,Bulk modulus,elastic compliance,dielectric tensor,s/e,kv/e,inv(kv)/e,labels,task_id,space_groups,point_groups,crystal_structure
531,0.4666666666666670,3.6,6.400666666662830,0.06355270196081550,0.008238313217142760,0.334786554972153,B6O,mp-1346,R-3m,-3m,trigonal
248,0.2333333333333330,12.383333333333300,13.801116000000000,0.10138648963833400,0.001910378001260670,0.31053389347023,SnBrF,mp-989193,P4/nmm,4/mmm,tetragonal
637,0.4666666666666670,6.266666666666670,8.1583333333334,0.08679443453772080,0.006463415337915380,0.262658689624979,Si3N4,mp-988,P6_3/m,6/m,hexagonal
474,0.5555555555555560,3.733333333333330,7.820999999955020,0.05393754946814640,0.008026421051807500,0.230149597239528,B6P,mp-28395,R-3m,-3m,trigonal
455,0.9000000000000000,11.0,4.92899965391167,0.25216837905860800,0.020631958286613400,0.225423247946331,AlF3,mp-8039,R-3m,-3m,trigonal
359,0.9000000000000000,17.75,5.203666666666670,0.38543009112435900,0.01954293419785490,0.213524651421006,NiF2,mp-559798,P4_2/mnm,4/mmm,tetragonal
803,0.5666666666666670,6.350000000000000,8.810067333333330,0.08144252446051510,0.0072678368284974100,0.20030560670928,KTaO3,mp-3614,Pm-3m,m-3m,cubic
85,0.5555555555555560,6.0,9.076372333333330,0.07469571286813110,0.006916269710012130,0.198317117664888,Al2O3,mp-32570,C2/c,2/m,monoclinic
383,0.5444444444444450,6.433333333333330,9.464333333333330,0.07680734548839420,0.006500103504199170,0.194069104414209,TiO2,mp-2657,P4_2/mnm,4/mmm,tetragonal
280,0.6609519876282690,6.822595080777260,7.79749166666577,0.09886701151455750,0.00957793141725907,0.194032807566556,SrTiO3,mp-4651,I4/mcm,4/mmm,tetragonal
264,1.2111111111111100,21.983333333333300,4.457,0.5573238651656530,0.030704221027574500,0.185256466994502,VF2,mp-555934,P4_2/mnm,4/mmm,tetragonal
97,0.6111111111111110,7.450000000000000,8.97899999999296,0.09375296910626800,0.007690400150402290,0.182243416456723,Al2O3,mp-7048,C2/m,2/m,monoclinic
605,0.6453963526804850,6.777737174477540,8.502167333328830,0.09007656264460890,0.00857735900585539,0.182240058049257,CrBO3,mp-19299,R-3c,-3m,trigonal
662,0.6222222222222220,11.866666666666700,9.602708333330500,0.13963417855406000,0.0073216423211866800,0.167363498021131,AlCuO2,mp-3098,P6_3/mmc,6/mmm,hexagonal
534,0.5476230448985590,6.061311315014890,11.049666666636000,0.06198322126476420,0.005600016002733220,0.165260517118604,Cr2O3,mp-19399,R-3c,-3m,trigonal
547,0.6333333333333330,8.166666666666670,9.619767333345720,0.09592614478054050,0.007439170411552120,0.16413571281998,VBO3,mp-18946,R-3c,-3m,trigonal
34,0.7777777777777780,8.033333333333340,8.22133333332331,0.110410470394552,0.010689810411644000,0.156387563134429,P3N5,mp-567907,C2/c,2/m,monoclinic
565,0.933333333333333,11.016666666666700,6.851941333336380,0.18167421927890100,0.015391461845111100,0.156368614281008,NiCO3,mp-19147,R-3c,-3m,trigonal
