original_list,vrh,reuss,voight
AlCl3,AlCl3,AlCl3,AlI3
AlClO,AlI3,AlI3,AuI
AuI,AuI,BCl3,BCl3
BCl3,BCl3,BeCl2,BeCl2
BeCl2,BeCl2,BeI2,BeI2
BeI2,BeI2,BI3,BF3
BF3,BF3,BN,BI3
BI3,BI3,CaI2,Cs2CaH4
BN,CaI2,Cs2NaYF6,Cs2NaYF6
CrBr3,Cs2NaYF6,GaBr3,Cs2SnCl6
GaCl3,GaBr3,GaCl3,CsAu3Se2
IBr,GaCl3,IBr,GaBr3
InCl3,IBr,InCl3,GaCl3
MgCl2,InCl3,MgCl2,KTcO4
MgI2,OsO4,OsO4,OsO4
PBr3,PBr3,PBr3,PBr3
PCl3,PCl3,PCl3,PCl3
Rb2SnBr6,Rb2SnBr6,Rb2SnBr6,Pd(SCl3)2
SbCl3,SbCl3,SbCl3,PF5
ScCl3,ScCl3,ScCl3,Rb2GeF6
Ta(ICl)2,SF6,Ta(ICl)2,Rb2SnBr6
VCl2,TiI4,TiI4,SbCl3
WCl6,WCl6,WCl6,SF6
WS2,WS2,WS2,TiI4
YBr3,YBr3,YBr3,WCl6
