S.N,C.N,e11,e12,e13,e21,e22,e23,e31,e32,e33
1,MgTiN2,4.4813,0.0,0.0,0.0,6.8355,0.0,0.0,0.0,6.0622
2,FeSi2,1.0242,0.0,0.0,0.0,1.0288,0.0,0.0,0.0,1.025
3,WO3,37.983,0.0,0.0,0.0,49.5655,0.5242,0.0,0.5242,17.2845
4,TePb,4.464,0.0,0.0,0.0,4.464,0.0,0.0,0.0,4.464
5,PbClF,38.7176,0.0,0.0,0.0,38.7176,0.0,0.0,0.0,23.5031
6,Ta3N5,34.0305,0.0,0.0,0.0,37.8217,0.0,0.0,0.0,53.2685
7,Bi2SO2,1.6994,0.0,0.0,0.0,2.0797,0.0,0.0,0.0,1.4313
8,BaZrO3,58.5577,0.0,0.0,0.0,58.5585,0.0,0.0,0.0,58.558
9,TiO2,54.749,0.0,0.0,0.0,54.7495,0.0,0.0,0.0,30.0753
10,NaTaO3,45.6058,0.0,0.0,0.0,45.6058,0.0,0.0,0.0,45.6058
11,CaZrO3,41.341,0.0,0.0,0.0,38.2649,0.0,0.0,0.0,83.4638
12,SrZrO3,103.1217,0.0,0.0,0.0,103.1187,0.0,0.0,0.0,48.1314
13,BaZrS3,26.8431,0.0,0.0,0.0,22.3906,0.0,0.0,0.0,26.4239
14,Sr2TiO4,94.7706,0.0,0.0,0.0,94.7705,0.0,0.0,0.0,20.4329
15,TiO2,28.5882,0.0,0.0,0.0,25.3011,1.0379,0.0,1.0379,30.7563
16,Na4Ti5O12,79.3558,0.0,-0.0,0.0,79.3556,0.0011,-0.0,0.0011,32.5661
17,Sr2HfO4,726.2158,0.0,0.0,0.0,726.2146,0.0,0.0,0.0,17.5245
18,CsSrF3,31.9904,0.0,0.0,0.0,31.9904,0.0,0.0,0.0,31.9905
19,SnBrF,6.6127,0.0,0.0,0.0,6.6127,0.0,0.0,0.0,19.2053
